"K230
Pin Number","K230D
Pin Number",Pin Name,Power Supply,IO Type,DIR,Function Description,,,,,
J15,G16,VSS,—,—,G,—,VSS,GND,,,
J16,—,DDR_RESET,VDDIO_DDR,DDR,IO,—,DDR_RESET,DDR reset signal,,,
J17,—,DDR_NC_CKEB1,VDDIO_DDR,DDR,IO,—,DDR_NC_CKEB1,LP3-NC;LP4-CKEB1,,,
J18,—,DDR_NC_CKEB0,VDDIO_DDR,DDR,IO,—,DDR_NC_CKEB0,LP3-NC;LP4-CKEB0,,,
J19,—,DDR_NC_CSB1,VDDIO_DDR,DDR,IO,—,DDR_NC_CSB1,LP3-;LP4-CSB1,,,
J20,—,DDR_NC_CSB0,VDDIO_DDR,DDR,IO,—,DDR_NC_CSB0,LP3-;LP4-CSB0,,,
K1,E1,GPIO15,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO15,GPIO15,,,
,,,,,,2,OSPI_CLK,OSPI Clock,,,
,,,,,,3,-,QSPI0 Clock,,,
,,,,,,4,QSPI0_CLK,QSPI0 Clock,,,
,,,,,,5,CO3,"CO3, for jam-link",,,
K2,F2,GPIO16,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO16,GPIO16,,,
,,,,,,2,OSPI_D0,OSPI Data0,,,
,,,,,,3,QSPI1_CS4,QSPI1 Chip Select4,,,
,,,,,,4,QSPI0_D0,QSPI0 Data0,,,
,,,,,,5,CO2,"CO2, for jam-link",,,
K3,,VSS,—,—,G,—,VSS,GND,,,
K4,F1,GPIO17,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO17,GPIO17,,,
,,,,,,2,OSPI_D1,OSPI Data1,,,
,,,,,,3,QSPI1_CS3,QSPI1 Chip Select3,,,
,,,,,,4,QSPI0_D1,QSPI0 Data1,,,
,,,,,,5,CO1,"CO1, for jam-link",,,
K5,G1,GPIO18,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO18,GPIO18,,,
,,,,,,2,OSPI_D2,OSPI Data2,,,
,,,,,,3,QSPI1_CS2,QSPI1 Chip Select2,,,
,,,,,,4,QSPI0_D2,QSPI0 Data2,,,
,,,,,,5,CO0,"CO0, for jam-link",,,
K6,H3,VSS,—,—,G,—,VSS,GND,,,
K7,H4,VDDIO_BANK1,—,—,P,—,VDDIO3P3_1,1.8/3.3V power supply,,,
K8,H5,VSS,—,—,G,—,VSS,GND,,,
K9,H6,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
K10,H7,VSS,—,—,G,—,VSS,GND,,,
K11,H8,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
K12,H9,VSS,—,—,G,—,VSS,GND,,,
K13,H10,VDD0P8_DDR_CORE,—,—,P,—,VDD0P8_DDR_CORE,DDR core power supply,,,
K14,H13,VSS,—,—,G,—,VSS,GND,,,
K15,H12,VAA_DDR,—,—,P,—,VAA_DDR,DDR PLL(1.8V) power supply,,,
K16,H15,VSS,—,—,G,—,VSS,GND,,,
K17,—,DDR_VREF,VDDIO_DDR,DDR,IO,—,DDR_VREF,DDR Phy Vref value,,,
K18,J4,VSS,—,—,G,—,VSS,GND,,,
—,H14,VDD1P8_DDR_VDD1,—,—,P,—,VDD1P8_DDR_VDD1,"K230D, SIP LPDDR4-VDD1, 1V8",,,
—,F15,VDD1P1_DDR_VDD2,—,—,P,—,VDD1P1_DDR_VDD2,"K230D, SIP LPDDR4-VDD2, 1V1",,,
—,M15,VDD1P1_DDR_VDD2,—,—,P,—,VDD1P1_DDR_VDD2,"K230D, SIP LPDDR4-VDD2, 1V1",,,
—,F16,VDD1P1_DDR_VDDQ,—,—,P,—,VDD1P1_DDR_VDDQ,"K230D, SIP LPDDR4-VDDQ, 1V1",,,
—,L16,VDD1P1_DDR_VDDQ,—,—,P,—,VDD1P1_DDR_VDDQ,"K230D, SIP LPDDR4-VDDQ, 1V1",,,
—,J16,DDR_ZQ,—,—,—,—,DDR_ZQ,The pin should be connected to VDD1P1 by a 240Ω(high-accuracy) resistor,,,
K19,H16,DDR_ZN,VDDIO_DDR,DDR,IO,—,DDR_ZN,The pin should be connected to GND by a 240Ω(high-accuracy) resistor,,,
K20,—,DDR_CA0_NC,VDDIO_DDR,DDR,IO,—,DDR_CA0_NC,LP3-CA0;LP4-NC,,,
L1,G2,GPIO19,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO19,GPIO19,,,
,,,,,,2,OSPI_D3,OSPI Data3,,,
,,,,,,3,QSPI1_CS1,QSPI1 Chip Select1,,,
,,,,,,4,QSPI0_D3,QSPI0 Data3,,,
,,,,,,5,-,-,,,
L2,H2,GPIO20,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO20,GPIO20,,,
,,,,,,2,OSPI_D4,OSPI Data4,,,
,,,,,,3,QSPI1_CS0,QSPI1 Chip Select0,,,
