Pin Name,K230,数量,K230D,数量,所属模块,,,,,,,,,,,,,
DM2_DMIB0,C15,1,-,,,,,,,,,,,,,,,
DQ16_DQB0,C14,1,-,,,,,,,,,,,,,,,
DQ17_DQB1,D14,1,-,,,,,,,,,,,,,,,
DQ18_DQB2,B14,1,-,,,,,,,,,,,,,,,
DQ19_DQB3,A14,1,-,,,,,,,,,,,,,,,
DQ20_DQB4,A17,1,-,,,,,,,,,,,,,,,
DQ21_DQB5,B16,1,-,,,,,,,,,,,,,,,
DQ22_DQB6,C16,1,-,,,,,,,,,,,,,,,
DQ23_DQB7,B17,1,-,,,,,,,,,,,,,,,
DQS3P_DQSA0P,W17,1,-,,,,,,,,,,,,,,,
DQS3N_DQSA0N,Y17,1,-,,,,,,,,,,,,,,,
DM3_DMIA0,V17,1,-,,,,,,,,,,,,,,,
DQ24_DQA7,U17,1,-,,,,,,,,,,,,,,,
DQ25_DQA6,Y18,1,-,,,,,,,,,,,,,,,
DQ26_DQA5,V18,1,-,,,,,,,,,,,,,,,
DQ27_DQA4,W18,1,-,,,,,,,,,,,,,,,
DQ28_DQA3,Y16,1,-,,,,,,,,,,,,,,,
DQ29_DQA2,V16,1,-,,,,,,,,,,,,,,,
DQ30_DQA1,T16,1,-,,,,,,,,,,,,,,,
DQ31_DQA0,U16,1,-,,,,,,,,,,,,,,,
NC_CLKBP,G20,1,-,,,,,,,,,,,,,,,
NC_CLKBN,F20,1,-,,,,,,,,,,,,,,,
NC_CKEB0,J18,1,-,,,,,,,,,,,,,,,
NC_CKEB1,J17,1,-,,,,,,,,,,,,,,,
NC_CSB0,J20,1,-,,,,,,,,,,,,,,,
NC_CSB1,J19,1,-,,,,,,,,,,,,,,,
NC_CAB0,E20,1,-,,,,,,,,,,,,,,,
NC_CAB1,G19,1,-,,,,,,,,,,,,,,,
NC_CAB2,G18,1,-,,,,,,,,,,,,,,,
NC_CAB3,H17,1,-,,,,,,,,,,,,,,,
NC_CAB4,F17,1,-,,,,,,,,,,,,,,,
NC_CAB5,F19,1,-,,,,,,,,,,,,,,,
NC,C20、D19、D20、F18、G17、H18、H19、M17、N18,9,-,,LP3和LP4中未使用的管脚,,,,,,,,,,,,,
